"title","author","publication_year","genre","synopsis"
"Biografía del poder","Enrique Krauze","2013","Biography & Autobiography","Biografía del poder, centrada en la historia mexicana de la primera mitad del siglo XX, constituye el segundo tomo de una trilogía que empezó con Siglo de caudillos (Andanzas 207), que ganó en 1993 e…"
"Aztequismos de Honduras","Alberto Membreño","1907","Spanish language","Obra de Alberto Membreño, publicada en 1907."
"Ensayo político sobre la isla de Cuba","Alexander von Humboldt","1930","Cuba","Obra de Alexander von Humboldt, publicada en 1930."
"Velarde 1808-1908","José Montero","1908","Ficción","Obra de José Montero, publicada en 1908."
"Estudios sobre Vicente Medina","Francisco Javier Díez de Revenga","1987","Ficción","Obra de Francisco Javier Díez de Revenga, publicada en 1987."
"Anales","Universidad de Chile","1893","Ficción","Obra de Universidad de Chile, publicada en 1893."
"Los biógrafos de Cervantes en el siglo xix","Luis Vidart","1889","Ficción","Obra de Luis Vidart, publicada en 1889."
"Juan Rufo, jurado de Córdoba","Rafael Ramírez de Arellano","1912","Ficción","Obra de Rafael Ramírez de Arellano, publicada en 1912."
"Estudio sobre el decreto constitucional de Apatzingan","Universidad Nacional Autónoma de México. Consejo Técnico de Humanidades","1964","Constitutional history","Obra de Universidad Nacional Autónoma de México. Consejo Técnico de Humanidades, publicada en 1964."
"Monografías","Ramón C. Correa","1930","Boyacá (Colombia : Department)","Obra de Ramón C. Correa, publicada en 1930."
"Boletín de la Biblioteca Nacional","Biblioteca Nacional de México","1912","Bibliography","Obra de Biblioteca Nacional de México, publicada en 1912."
"Estudios filosóficos","Ricaurte Soler","1974","Causation","Obra de Ricaurte Soler, publicada en 1974."
"Anales del Instituto de Biología de la Universidad Nacional Autónoma de México","Universidad Nacional Autónoma de México. Instituto de Biología","1938","Biology","Obra de Universidad Nacional Autónoma de México. Instituto de Biología, publicada en 1938."
"Reseña histórica de la vida y martirio de los VV. Sres. Sanz y Serrano, y PP. Alcover, Royo y Díaz de la Órden de Predicadores","Cayetano García Cienfuegos","1893","Martyrologies","Obra de Cayetano García Cienfuegos, publicada en 1893."
"Elogio del Lic. José de Armas y Cárdenas","Antonio L. Valverde","1923","Ficción","Obra de Antonio L. Valverde, publicada en 1923."
"Historia del descubrimiento de América","Emilio Castelar","1892","America","Obra de Emilio Castelar, publicada en 1892."
"Historia de la Universidad de Buenos Aires y de su influencia en la cultura argentina","Juan Agustín García","1921","Ficción","Obra de Juan Agustín García, publicada en 1921."
"Linaje de Morovelli y ortos ilustres de Sevilla","Francisco Morovelli de Puebla","1918","Seville (Spain)","Obra de Francisco Morovelli de Puebla, publicada en 1918."
"A Bibliography of the Belles-lettres of Venezuela","Samuel Montefiore Waxman","1935","Venezuela","Obra de Samuel Montefiore Waxman, publicada en 1935."
"Catalog of the Nettie Lee Benson Latin American Collection","Benson Latin American Collection","1971","Latin America","Obra de Benson Latin American Collection, publicada en 1971."
"El siglo XVIII en la pre-ilustración salmantina","Juan Luis Cortina Iceta","1981","Philosophy","Obra de Juan Luis Cortina Iceta, publicada en 1981."
"Detén el tiempo den tus manos","Roberto Cantoral Zucchi","2023","Biography & Autobiography","Tienes en tus manos un retrato escrito de la vida de uno de los más grandes y reconocidos compositores mexicanos: Roberto Cantoral, un hombre que tuvo como pasión la música y la creación artística. A…"
"Biographical Dictionaries and Related Works: Biography by vocation ; Author index ; Title index ; Subject index","Robert B. Slocum","1986","Biography","Obra de Robert B. Slocum, publicada en 1986."
"Anales del Museo Nacional de México","Museo Nacional de México","1907","Mexico","Obra de Museo Nacional de México, publicada en 1907."
"Catálogo de la Biblioteca, por orden alfabético de autores","Universidad Nacional de Córdoba. Biblioteca Mayor","1906","Ficción","Obra de Universidad Nacional de Córdoba. Biblioteca Mayor, publicada en 1906."
"Diccionario biográfico chileno, 1550-1887","Pedro Pablo Figueroa","1887","Chile","Obra de Pedro Pablo Figueroa, publicada en 1887."
"Refutación de un libro titulado San Raimundo de Peñafort, fundador de la Orden de la Merced","Faustino D. Gazulla","1920","Ficción","Obra de Faustino D. Gazulla, publicada en 1920."
"Diccionario histórico, biográfico y bibliográfico de Chile","Virgilio Figueroa","1929","Chile","Obra de Virgilio Figueroa, publicada en 1929."
"Proceedings, Rocky Mountain Council on Latin American Studies ... Annual Report","Rocky Mountain Council on Latin American Studies","1978","Latin America","Obra de Rocky Mountain Council on Latin American Studies, publicada en 1978."
"Leonardo","Michael White","2003","Biography & Autobiography","Obra de Michael White, publicada en 2003."
"Biografía incompleta","Gerardo Diego","1953","Ficción","Obra de Gerardo Diego, publicada en 1953."
"Avisos de Jerónimo de Barrionuevo (1654 - 1658) precede una noticia de la vida y escritos del autor por A. Paz y Mélia","Jerónimo de Barrionuevo","1894","Ficción","Obra de Jerónimo de Barrionuevo, publicada en 1894."
"Who's who in Latin America","Percy Alvin Martin","1935","Brazil","Obra de Percy Alvin Martin, publicada en 1935."
"Bibliografia critica de las obras de Miguel de Cervantes Saavedra","Leopoldo Rius","1895","Ficción","Obra de Leopoldo Rius, publicada en 1895."
"Felipe Pedrell","Luis Villalba Muñoz","1922","Composers","Obra de Luis Villalba Muñoz, publicada en 1922."
"Thomas Bernhard","Miguel Sáenz","1996","Juvenile Nonfiction","Obra de Miguel Sáenz, publicada en 1996."
"Widener Library Shelflist: Latin American literature","Harvard University. Library","1969","Library catalogs","Obra de Harvard University. Library, publicada en 1969."
"Estudios críticos sobre biografía, historia, literatura y arte","Fermín Herrán","1879","Art criticism","Obra de Fermín Herrán, publicada en 1879."
"La Ilustración española y americana","Abelardo de Carlos","1889","Ficción","Obra de Abelardo de Carlos, publicada en 1889."
"Libro del desasosiego","Fernando Pessoa","2014","Fiction","Sin duda una de las obras más personales, abiertas, inclasificables e imprescindibles de toda la literatura contemporánea, está compuesto por más de medio millar de fragmentos que operan de una maner…"
"Gabriel García Márquez","Gerald Martin","2011","Biography & Autobiography","La biografía definitiva de García Márquez, una obra extraordinaria fruto de 17 años de trabajo. «Todo escritor con principios debería tener un biógrafo inglés», dijo Gabriel García Márquez sobre este…"
"Biografía de Fr. Luis de Granada con unos artículos literarios donde se demuestra que el venerable padre, y no San Pedro de Alcántara, es verdadero y único autor del Libro de la Oración","Justo Cuervo","1895","Ficción","Obra de Justo Cuervo, publicada en 1895."
"Amigos de sor Juana","Guillermo Schmidhuber de la Mora","2014","Literary Criticism","El autor nos presenta seis rigurosos estudios sobre igual número de personajes que influyeron notablemente en la vida de sor Juana, aunque de diversa manera; mientras unos la alentaron a seguir sus i…"
"Vocabulario básico de liturgia","José Aldazábal","1996","Liturgics","""Books by authors. For reflection, systematic exposition or high level publication. For teaching or a higher level of liturgical formation. This book precisely and simply explains the meaning of 465…"
"Auxiliar Bíblico Portavoz","Harold L. Willmington","1996","Reference","Comentario de toda la Biblia, estudio de 12 doctrinas, resumen temático de la Biblia, resumen histórico de los más importantes pueblos bíblicos y otras ayudas."
"Misterios Inexplicables Del Cielo y la Tierra","Ron Phillips","2013","Religion","Las obras del Señor son grandes, estudiadas por todos los que tienen placer en ellas. (Salmos 111:2) La Escritura indica claramente que hasta el mismo orden creativo grita como testigo de Dios. Salmo…"
"Misterio...","Hugh Conway","1886","Ficción","Obra de Hugh Conway, publicada en 1886."
"Diccionario técnico Akal de cine","Ira Konigsberg","2004","Performing Arts","Exhaustivo recorrido por todos los ámbitos del mundo del cine, de la producción y el equipo técnico a los géneros cinematográficos y los grandes estudios. Una herramienta imprescindible para estudian…"
"Compendio de la Doctrina Social de la Iglesia","Pontificio Consejo Justicia y Paz","2004","Religion","El Compendio de la Doctrina Social de la Iglesia está elaborado, por encargo del Santo Padre Juan Pablo II, por el Pontificio Consejo Justicia y Paz. El documento se pone a disposición de todos aquel…"
"Historia nacional de la infamia","Pablo Piccato","2020","History","Éste es un libro sobre la infamia en México y, a la vez, sobre la infamia de México: al explorar diversas expresiones criminales en el país durante buena parte del siglo XX Pablo Piccato da cuenta de…"
"LA BIBLIA GNÓSTICA","Samael Aun Weor","2015","Ficción","""Y aconteció que, cuando Jesús había resucitado de entre los muertos, que pasó once años discurriendo con sus discípulos, enseñándoles ..."" - La Pistis Sophía Los apóstoles escribieron lo que Jesús l…"
"Parece el lugar en que viví","Garamona, Francisco","2024","Poetry","El viaje a la poesía de Garamona no tiene en realidad un final de cuento, su relato es una invención del día que viene a cortar el ritmo y asume la forma limitada de otro libro. Pero su demanda no ce…"
"Los araucanos en el misterio de los Andes","Aída Kurteff","1979","Civilization, Ancient","Obra de Aída Kurteff, publicada en 1979."
"La senda del martirio; ó El misterio de una tumba","Elvira Duarte","1901","Ficción","Obra de Elvira Duarte, publicada en 1901."
"Vida y misterios de Cristo Nuestro Señor","Pedro de Ribadeneira","1878","Ficción","Obra de Pedro de Ribadeneira, publicada en 1878."
"Catecismo de la doctrina cristiana","Joseph Deharbe","1897","Religious literature, Mexican","Obra de Joseph Deharbe, publicada en 1897."
"20 soles","Angela Castillo","2021","Fiction","Dos almas gemelas son enviadas a un mundo con una misión. Pero ellos no saben que tienen un alma gemela ni saben que tienen una misión. No saben porque no lo recuerdan. Eva Luna, una chica terrestre…"
"Romancero Espiritual en gracia de los Esclavos del santísimo Sacramento para cantar cuando se muestra descubierto por el Maestro Josef de Valdivielso precedido de un prólogo por el Rdo. P. Miguel Mir de la compañia de Jesus","Josef de Valdivielso","1880","Ficción","Obra de Josef de Valdivielso, publicada en 1880."
"Vicente Huidobro y la motivación del lenguaje","George Yúdice","1978","Ficción","Obra de George Yúdice, publicada en 1978."
"Amado Nervo","Pedro B. Franco","1919","Ficción","Obra de Pedro B. Franco, publicada en 1919."
"Historia de la poesía castellana en la edad media","Marcelino Menéndez y Pelayo","1916","Spanish poetry","Obra de Marcelino Menéndez y Pelayo, publicada en 1916."
"El Catecismo de la doctrina explicado a explicaciones del As Tete que convienen tambien al Ripalda","Santiago José García Mazo","1924","Ficción","Obra de Santiago José García Mazo, publicada en 1924."
"Obras completas del Exemo","Marcelino Menéndez y Pelayo","1916","Ficción","Obra de Marcelino Menéndez y Pelayo, publicada en 1916."
"Bajo el compás","Salvador Martínez Rozas","1918","Ficción","Obra de Salvador Martínez Rozas, publicada en 1918."
"Historia de las ideas estéticas en España","Marcelino Menéndez y Pelayo","1908","Aesthetics","Obra de Marcelino Menéndez y Pelayo, publicada en 1908."
"Estudios filosóficos sobre el cristianismo, compendiados [in transl.] por R.S. Gómez","Jean Jacques Auguste Nicolas","1888","Ficción","Obra de Jean Jacques Auguste Nicolas, publicada en 1888."
"Obras completas ...","Marcelino Menéndez y Pelayo","1908","Ficción","Obra de Marcelino Menéndez y Pelayo, publicada en 1908."
"Redactor de la H. Cámara de Diputados (Sesiones reservadas).","Bolivia. Congreso Nacional. Cámara de Diputados","1924","Bolivia","Includes the ordinary and extraordinary sessions."
"P. Antonio Vieira, S. J.","António Vieira (S.I.)","1928","Ficción","Obra de António Vieira (S.I.), publicada en 1928."
"Los Hermanos Penitentes","Mary Martha Weigle","1984","Ficción","Obra de Mary Martha Weigle, publicada en 1984."
